Site,Location,Date,Q,NO3,PO4,NH4,Temp,PAR,NEP,GPP,ER,ER_pos,P_Vf,N_Vf
I8-Out,I8-Out-AVG,9/16/10,198,12,3,6,7.8,816,-102.72,3.384,-13.656,13.656,21.1,9.9
I8-Out,I8-Out-260,9/16/10,198,12,3,6,7.8,816,-102.72,3.384,-13.656,13.656,21,0
I8-Out,I8-Out-360,9/16/10,198,12,3,6,7.8,816,-102.72,3.384,-13.656,13.656,21.3,9.9
I8-Out,I8-Out-AVG,9/23/10,185,14,3,7,4.1,4110,-55.2,4.776,-10.296,10.296,20.5,5
I8-Out,I8-Out-260,9/23/10,185,14,3,7,4.1,4110,-55.2,4.776,-10.296,10.296,21.5,5.4
I8-Out,I8-Out-360,9/23/10,185,14,3,7,4.1,4110,-55.2,4.776,-10.296,10.296,19.5,4.6
I8-Out,I8-Out-AVG,6/4/11,446,43,5,4,6,11688,-424.08,11.664,-54.048,54.048,27.6,0
I8-Out,I8-Out-260,6/4/11,446,43,5,4,6,11688,-424.08,11.664,-54.048,54.048,18.3,100.6
I8-Out,I8-Out-360,6/4/11,446,43,5,4,6,11688,-424.08,11.664,-54.048,54.048,36.8,0
I8-Out,I8-Out-AVG,6/10/11,220,31,3,6,7.9,16140,-178.08,10.104,-27.912,27.912,30.2,39.8
I8-Out,I8-Out-260,6/10/11,220,30,2,6,7.9,16140,-178.08,10.104,-27.912,27.912,42,25.1
I8-Out,I8-Out-360,6/10/11,220,31,3,6,7.9,16140,-178.08,10.104,-27.912,27.912,30.2,53.5
I8-Out,I8Out-340,7/15/11,68,6,2,14,15,10291,-88.08,10.08,-18.888,18.888,20.9,0
I8-Out,I8-Out-260,7/16/11,151,8,2,15,15.4,7823,-101.28,13.224,-23.328,23.328,27.3,14.9
I8-Out,I8-Out-250,9/3/11,85,4,0,5,10.8,3292,-20.16,4.68,-6.672,6.672,17.5,0
P-In,Pin,7/23/10,138,10,3,9,12.3,9005,-23.04,1.224,-3.528,3.528,12,0
P-In,Pin,7/23/10,138,10,3,9,12.3,9005,-23.04,1.224,-3.528,3.528,13.5,0
P-In,Pin,7/30/10,415,2,2,11,12.5,7937,,,,0,0,0
P-In,Pin,9/20/10,75,21,2,8,5.6,4321,-8.16,0.12,-0.936,0.936,10.5,0
P-In,Pin,9/28/10,50,19,1,12,0.5,2619,,,,0,0,0
P-In,Pin,9/28/10,50,19,1,12,0.5,2619,,,,0,0,0
P-In,Pin,6/8/11,189,11,5,14,7,15318,-88.8,,-7.848,7.848,14.1,0
P-In,Pin,6/14/11,57,17,2,3,7.9,9532,-43.92,,-3.768,3.768,1.4,0
P-In,Pin,7/4/11,29,56,2,14,10.5,3738,-23.28,1.344,-3.672,3.672,5.1,0
P-In,Pin,7/5/11,30,47,2,14,11.8,12118,-28.56,2.592,-5.448,5.448,15.6,0
P-In,Pin,8/2/11,32,36,4,39,11,5232,-16.8,3.624,-5.304,5.304,5.9,0
