Site,Location,Date,Q,nutrient,Conc,Temp,PAR,NEP,GPP,ER,ER_pos,Vf
I8-In,I8-In 500 M,9/18/10,180,NH4-N,11,4.4,5543,-8.1,4.7,-12.8,12.8,10.6
I8-In,I8-In 500 M,9/25/10,110,NH4-N,9,0.1,4110,-5.4,2.3,-7.7,7.7,NA
I8-In,I8-In 500 M,6/6/11,63,NH4-N,10,10.3,11553,-1.8,4.8,-6.6,6.6,17.2
I8-In,I8-In 500 M,6/12/11,33,NH4-N,3,9.7,9200,-3.2,3.4,-6.6,6.6,NA
I8-In,I8-In,7/19/11,90,NH4-N,19,11.7,9191,-3.1,8.3,-11.4,11.4,13.9
I8-In,I8-In,8/13/11,43,NH4-N,9,10.5,7014,-3,5.9,-8.9,8.9,4.8
I8-In,I8-In,9/9/11,185,NH4-N,42,2.5,5575,-1.7,5.6,-7.3,7.3,NA
I8-Out,I8-Out-360,7/19/10,250,NH4-N,4,11.1,4796,-15.8,5.9,-21.7,21.7,NA
I8-Out,I8-Out-360,7/26/10,270,NH4-N,10,12.9,7084,8.1,8.4,-0.3,0.3,NA
I8-Out,I8-Out-360,9/16/10,198,NH4-N,6,7.8,816,-10.3,3.4,-13.7,13.7,NA
I8-Out,I8-Out-360,9/23/10,185,NH4-N,7,4.1,4110,-5.5,4.8,-10.3,10.3,NA
I8-Out,I8-Out-260,6/4/11,446,NH4-N,4,6,11688,-42.4,11.7,-54,54,40.3
I8-Out,I8-Out-360,6/10/11,220,NH4-N,6,7.9,16140,-17.8,10.1,-27.9,27.9,20.5
I8-Out,I8-Out-260,7/16/11,151,NH4-N,15,15.4,7823,-10.1,13.2,-23.3,23.3,13.5
I8-Out,I8-Out-260,9/2/11,44,NH4-N,3,11.3,3884,-3.2,3.5,-6.7,6.7,NA
P-In,Pin,7/23/10,138,NH4-N,9,12.3,9005,-2.3,1.2,-3.5,3.5,NA
P-In,Pin,7/30/10,415,NH4-N,11,12.5,7937,-2.7,1.8,-4.5,4.5,NA
P-In,Pin,9/20/10,75,NH4-N,8,5.6,4321,-0.8,0.1,-0.9,0.9,NA
P-In,P_in_up,9/28/10,50,NH4-N,14,0.5,2619.4,-0.3,0.3,-0.6,0.6,NA
P-In,Pin,6/8/11,189,NH4-N,14,7,15318,-1,0,-7.8,7.8,NA
P-In,Pin_up,6/14/11,57,NH4-N,3,7.9,9532,-0.6,0,-3.8,3.8,NA
P-In,Pin,7/5/11,30,NH4-N,14,11.8,12118,-2.9,2.6,-5.4,5.4,NA
P-In,Pin,8/2/11,32,NH4-N,39,11,5232,-2.3,3.1,-5.4,5.4,NA
P-In,Pin,8/3/11,28,NH4-N,7,11.1,8577,-1.7,3.6,-5.3,5.3,1.1
